"FullName","CreationTime","Length","Name","Extension"
"C:\Code\AD\Artifacts\11-LDAPS_PRIVATEKEY.pfx","10/14/2023 6:35:43 PM","6281","11-LDAPS_PRIVATEKEY.pfx",".pfx"
"C:\Code\AD\SSO_LDAP\0-New-DomainAdmin copy 3.ps1","10/14/2023 12:17:44 PM","811","0-New-DomainAdmin copy 3.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\0-New-LocalAdmin copy 2.ps1","10/14/2023 12:17:44 PM","1540","0-New-LocalAdmin copy 2.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\0-New-LocalAdmin copy.ps1","10/14/2023 12:17:45 PM","1193","0-New-LocalAdmin copy.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\0-New-LocalAdmin.ps1","10/14/2023 12:17:45 PM","733","0-New-LocalAdmin.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\1-Check-LDAP_Port copy.ps1","10/14/2023 12:17:45 PM","1149","1-Check-LDAP_Port copy.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\1.1-Check-FirewallRule.ps1","10/14/2023 12:17:45 PM","2153","1.1-Check-FirewallRule.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\2-Create-LDAP_Firewall.ps1","10/14/2023 12:17:45 PM","1212","2-Create-LDAP_Firewall.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\3-Find-FQDN.ps1","10/14/2023 4:28:07 PM","72","3-Find-FQDN.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\Get-LocalUser.ps1","10/14/2023 12:17:46 PM","915","Get-LocalUser.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\11-Export-LDAPsPfx.ps1","10/14/2023 1:14:57 PM","620","11-Export-LDAPsPfx.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\12-Test-LDAPS.ps1","10/14/2023 1:14:57 PM","618","12-Test-LDAPS.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\5-CertReq.ps1","10/14/2023 1:14:57 PM","294","5-CertReq.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\7-CertReq_Accept.ps1","10/14/2023 1:14:57 PM","218","7-CertReq_Accept.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\9-Enable-LDAPS.ps1","10/14/2023 1:14:57 PM","295","9-Enable-LDAPS.ps1",".ps1"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\ad.csr","10/14/2023 1:14:57 PM","2192","ad.csr",".csr"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\ad_ldaps_cert.crt","10/14/2023 1:14:57 PM","2070","ad_ldaps_cert.crt",".crt"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\ca.crt","10/14/2023 1:14:58 PM","2160","ca.crt",".crt"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\enable_ldaps.txt","10/14/2023 1:14:58 PM","82","enable_ldaps.txt",".txt"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\LDAPS_PRIVATEKEY.pfx","10/14/2023 1:14:58 PM","6097","LDAPS_PRIVATEKEY.pfx",".pfx"
"C:\Code\AD\SSO_LDAP\OpenSSL_LDAP_SSO_DC2\request.inf","10/14/2023 1:14:58 PM","928","request.inf",".inf"
